task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,logistic_regression,0.1,13,1400,female,female,1013
gender,logistic_regression,0.1,13,1400,female,male,724
gender,logistic_regression,0.1,13,1400,male,female,716
gender,logistic_regression,0.1,13,1400,male,male,1046
gender,random_forest,0.1,13,1400,female,female,931
gender,random_forest,0.1,13,1400,female,male,806
gender,random_forest,0.1,13,1400,male,female,623
gender,random_forest,0.1,13,1400,male,male,1139
gender,hist_gradient_boosting,0.1,13,1400,female,female,934
gender,hist_gradient_boosting,0.1,13,1400,female,male,803
gender,hist_gradient_boosting,0.1,13,1400,male,female,785
gender,hist_gradient_boosting,0.1,13,1400,male,male,977
gender,xgboost,0.1,13,1400,female,female,994
gender,xgboost,0.1,13,1400,female,male,743
gender,xgboost,0.1,13,1400,male,female,696
gender,xgboost,0.1,13,1400,male,male,1066
gender,mlp,0.1,13,1400,female,female,978
gender,mlp,0.1,13,1400,female,male,759
gender,mlp,0.1,13,1400,male,female,746
gender,mlp,0.1,13,1400,male,male,1016
gender,logistic_regression,0.1,21,1400,female,female,1018
gender,logistic_regression,0.1,21,1400,female,male,719
gender,logistic_regression,0.1,21,1400,male,female,764
gender,logistic_regression,0.1,21,1400,male,male,998
gender,random_forest,0.1,21,1400,female,female,1009
gender,random_forest,0.1,21,1400,female,male,728
gender,random_forest,0.1,21,1400,male,female,704
gender,random_forest,0.1,21,1400,male,male,1058
gender,hist_gradient_boosting,0.1,21,1400,female,female,1045
gender,hist_gradient_boosting,0.1,21,1400,female,male,692
gender,hist_gradient_boosting,0.1,21,1400,male,female,799
gender,hist_gradient_boosting,0.1,21,1400,male,male,963
gender,xgboost,0.1,21,1400,female,female,1045
gender,xgboost,0.1,21,1400,female,male,692
gender,xgboost,0.1,21,1400,male,female,726
gender,xgboost,0.1,21,1400,male,male,1036
gender,mlp,0.1,21,1400,female,female,1065
gender,mlp,0.1,21,1400,female,male,672
gender,mlp,0.1,21,1400,male,female,785
gender,mlp,0.1,21,1400,male,male,977
gender,logistic_regression,0.1,34,1400,female,female,1026
gender,logistic_regression,0.1,34,1400,female,male,711
gender,logistic_regression,0.1,34,1400,male,female,735
gender,logistic_regression,0.1,34,1400,male,male,1027
gender,random_forest,0.1,34,1400,female,female,952
gender,random_forest,0.1,34,1400,female,male,785
gender,random_forest,0.1,34,1400,male,female,654
gender,random_forest,0.1,34,1400,male,male,1108
