task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,logistic_regression,0.1,13,1400,female,female,979
gender,logistic_regression,0.1,13,1400,female,male,758
gender,logistic_regression,0.1,13,1400,male,female,779
gender,logistic_regression,0.1,13,1400,male,male,983
gender,random_forest,0.1,13,1400,female,female,930
gender,random_forest,0.1,13,1400,female,male,807
gender,random_forest,0.1,13,1400,male,female,738
gender,random_forest,0.1,13,1400,male,male,1024
gender,hist_gradient_boosting,0.1,13,1400,female,female,903
gender,hist_gradient_boosting,0.1,13,1400,female,male,834
gender,hist_gradient_boosting,0.1,13,1400,male,female,842
gender,hist_gradient_boosting,0.1,13,1400,male,male,920
gender,xgboost,0.1,13,1400,female,female,908
gender,xgboost,0.1,13,1400,female,male,829
gender,xgboost,0.1,13,1400,male,female,736
gender,xgboost,0.1,13,1400,male,male,1026
gender,mlp,0.1,13,1400,female,female,970
gender,mlp,0.1,13,1400,female,male,767
gender,mlp,0.1,13,1400,male,female,977
gender,mlp,0.1,13,1400,male,male,785
gender,logistic_regression,0.1,21,1400,female,female,951
gender,logistic_regression,0.1,21,1400,female,male,786
gender,logistic_regression,0.1,21,1400,male,female,805
gender,logistic_regression,0.1,21,1400,male,male,957
gender,random_forest,0.1,21,1400,female,female,899
gender,random_forest,0.1,21,1400,female,male,838
gender,random_forest,0.1,21,1400,male,female,716
gender,random_forest,0.1,21,1400,male,male,1046
gender,hist_gradient_boosting,0.1,21,1400,female,female,940
gender,hist_gradient_boosting,0.1,21,1400,female,male,797
gender,hist_gradient_boosting,0.1,21,1400,male,female,866
gender,hist_gradient_boosting,0.1,21,1400,male,male,896
gender,xgboost,0.1,21,1400,female,female,978
gender,xgboost,0.1,21,1400,female,male,759
gender,xgboost,0.1,21,1400,male,female,805
gender,xgboost,0.1,21,1400,male,male,957
gender,mlp,0.1,21,1400,female,female,1044
gender,mlp,0.1,21,1400,female,male,693
gender,mlp,0.1,21,1400,male,female,876
gender,mlp,0.1,21,1400,male,male,886
gender,logistic_regression,0.1,34,1400,female,female,991
gender,logistic_regression,0.1,34,1400,female,male,746
gender,logistic_regression,0.1,34,1400,male,female,780
gender,logistic_regression,0.1,34,1400,male,male,982
gender,random_forest,0.1,34,1400,female,female,930
gender,random_forest,0.1,34,1400,female,male,807
gender,random_forest,0.1,34,1400,male,female,759
gender,random_forest,0.1,34,1400,male,male,1003
gender,hist_gradient_boosting,0.1,34,1400,female,female,903
gender,hist_gradient_boosting,0.1,34,1400,female,male,834
gender,hist_gradient_boosting,0.1,34,1400,male,female,829
gender,hist_gradient_boosting,0.1,34,1400,male,male,933
gender,xgboost,0.1,34,1400,female,female,943
gender,xgboost,0.1,34,1400,female,male,794
gender,xgboost,0.1,34,1400,male,female,756
gender,xgboost,0.1,34,1400,male,male,1006
gender,mlp,0.1,34,1400,female,female,982
gender,mlp,0.1,34,1400,female,male,755
gender,mlp,0.1,34,1400,male,female,789
gender,mlp,0.1,34,1400,male,male,973
gender,logistic_regression,0.1,55,1400,female,female,906
gender,logistic_regression,0.1,55,1400,female,male,831
gender,logistic_regression,0.1,55,1400,male,female,784
gender,logistic_regression,0.1,55,1400,male,male,978
gender,random_forest,0.1,55,1400,female,female,887
gender,random_forest,0.1,55,1400,female,male,850
gender,random_forest,0.1,55,1400,male,female,719
gender,random_forest,0.1,55,1400,male,male,1043
gender,hist_gradient_boosting,0.1,55,1400,female,female,906
gender,hist_gradient_boosting,0.1,55,1400,female,male,831
gender,hist_gradient_boosting,0.1,55,1400,male,female,798
gender,hist_gradient_boosting,0.1,55,1400,male,male,964
gender,xgboost,0.1,55,1400,female,female,935
gender,xgboost,0.1,55,1400,female,male,802
gender,xgboost,0.1,55,1400,male,female,789
gender,xgboost,0.1,55,1400,male,male,973
gender,mlp,0.1,55,1400,female,female,1035
gender,mlp,0.1,55,1400,female,male,702
gender,mlp,0.1,55,1400,male,female,941
gender,mlp,0.1,55,1400,male,male,821
gender,logistic_regression,0.1,89,1400,female,female,897
gender,logistic_regression,0.1,89,1400,female,male,840
gender,logistic_regression,0.1,89,1400,male,female,713
gender,logistic_regression,0.1,89,1400,male,male,1049
gender,random_forest,0.1,89,1400,female,female,928
gender,random_forest,0.1,89,1400,female,male,809
gender,random_forest,0.1,89,1400,male,female,768
gender,random_forest,0.1,89,1400,male,male,994
gender,hist_gradient_boosting,0.1,89,1400,female,female,902
gender,hist_gradient_boosting,0.1,89,1400,female,male,835
gender,hist_gradient_boosting,0.1,89,1400,male,female,810
gender,hist_gradient_boosting,0.1,89,1400,male,male,952
gender,xgboost,0.1,89,1400,female,female,944
